route,seq,name_en,name_tc,name_sc,location_en,location_tc,location_sc,lat,lng,path
2B,6,KENT ROAD,根德道,根德道,CORNWALL STREETOPP. TO HOUSE NO. 6LOCKOO GARDENS,歌和老街門牌6號對面樂古臺,歌和老街门牌6号对面乐古台,22.339922097,114.176677186,"[[""22.339922097"",""114.176677186""],[""22.340076956"",""114.176675397""],[""22.340111791"",""114.17597696""],[""22.340126068"",""114.175796121""],[""22.340162951"",""114.175090612""],[""22.34015938"",""114.17482887""],[""22.340157002"",""114.174674205""],[""22.340147483"",""114.174524299""],[""22.340134396"",""114.174429121""],[""22.340117741"",""114.174337511""],[""22.340089187"",""114.174189985""],[""22.339740596"",""114.172789673""],[""22.339513357"",""114.171961619""],[""22.33945863"",""114.171732001""],[""22.339362261"",""114.171338201""],[""22.339352744"",""114.171276335""],[""22.339324191"",""114.170983661""],[""22.339289688"",""114.170839704""],[""22.339287308"",""114.17067671""]]"
2B,8,CHAK YAN CENTRE,則仁中心,则仁中心,CORNWALL STREETO/S CHAK YAN CENTRE,歌和老街則仁中心,歌和老街则仁中心,22.339780727,114.167521914,"[[""22.339780727"",""114.167521914""],[""22.339825066"",""114.167501321""],[""22.339880984"",""114.167363311""],[""22.339926193"",""114.167083724""],[""22.339934521"",""114.166994495""],[""22.339925003"",""114.166675647""],[""22.339911917"",""114.166347281""],[""22.339907158"",""114.166291364""],[""22.33989407"",""114.166231877""],[""22.339865518"",""114.166155736""],[""22.339836964"",""114.16609387""],[""22.339788714"",""114.166014379""],[""22.339745355"",""114.16596062""],[""22.339701335"",""114.165913031""],[""22.339660883"",""114.165874959""],[""22.339511782"",""114.16574436""],[""22.339462199"",""114.165722674""],[""22.339424127"",""114.165720293""],[""22.339389625"",""114.165723863""],[""22.339361071"",""114.165741708""],[""22.339213545"",""114.165891615""],[""22.339094572"",""114.166034383""],[""22.339024378"",""114.166129562""],[""22.33896965"",""114.166215221""],[""22.338922062"",""114.16631159""],[""22.338887559"",""114.166409148""],[""22.338850891"",""114.166527563""],[""22.338792963"",""114.166784587""],[""22.33865388"",""114.167394053""]]"
2B,9,SHEK KIP MEI FIRE STATION,石硤尾消防局,石硖尾消防局,NAM CHEONG STREETNEAR SHEK KIP MEI FIRE STATION,南昌街近石硤尾消防局,南昌街近石硖尾消防局,22.338695923,114.167401251,"[[""22.338695923"",""114.167401251""],[""22.338654034"",""114.167393375""],[""22.338617913"",""114.1675796""],[""22.338561746"",""114.168155779""],[""22.338515892"",""114.168477551""],[""22.338457914"",""114.168678556""],[""22.338369954"",""114.168876829""],[""22.338251795"",""114.169067819""],[""22.338078931"",""114.169241543""],[""22.337953923"",""114.169314104""],[""22.337816901"",""114.169367605""],[""22.337697416"",""114.169392762""],[""22.337467282"",""114.169397487""],[""22.33673562"",""114.169239252""],[""22.335929386"",""114.169070745""]]"
2B,16,UN CHAU SHOPPING CENTRE,元州商場,元州商场,UN CHAU STREETOPP. TO HSE NO. 358,元州街門牌358號對面,元州街门牌358号对面,22.337731986,114.156102092,"[[""22.337731986"",""114.156102092""],[""22.337823298"",""114.15617811""],[""22.338731654"",""114.154989306""],[""22.338739981"",""114.154953615""],[""22.338736413"",""114.15492744""],[""22.338730464"",""114.154901267""],[""22.338713807"",""114.154875092""],[""22.337541026"",""114.153818557""],[""22.337503851"",""114.153785299""],[""22.337477677"",""114.153743658""],[""22.337446745"",""114.153698449""],[""22.337433657"",""114.15364729""],[""22.337436037"",""114.153591373""],[""22.337447934"",""114.153547353""],[""22.33746816"",""114.153486678""],[""22.337499094"",""114.153426""],[""22.33804161"",""114.152754992""],[""22.338191517"",""114.152562256""],[""22.338274798"",""114.152425437""],[""22.338323576"",""114.152339777""],[""22.338364441"",""114.152245246""],[""22.33841712"",""114.152097564""],[""22.338441174"",""114.151957316""],[""22.338448065"",""114.151861561""],[""22.338436119"",""114.151707567""],[""22.338409088"",""114.151567591""],[""22.338374734"",""114.151462945""],[""22.33830231"",""114.151250076""]]"
2B,18,CHEUNG LAI STREET CHEUNG SHA WAN,長沙灣長荔街,长沙湾长荔街,CHEUNG SHA WAN ROADO/S WAH SHING INDUSTRIAL BLDG.,長沙灣道華盛工業大廈對出,长沙湾道华盛工业大厦对出,22.336684102,114.146748788,"[[""22.336684102"",""114.146748788""],[""22.336721124"",""114.146737123""],[""22.336632969"",""114.146520804""],[""22.336528272"",""114.146266202""],[""22.336205855"",""114.145325126""],[""22.336183251"",""114.145300142""],[""22.336153507"",""114.145285864""],[""22.336117815"",""114.145279916""],[""22.335777552"",""114.145381043""],[""22.335757327"",""114.145403648""],[""22.335740672"",""114.145429822""],[""22.335727585"",""114.145459566""],[""22.335720446"",""114.145494067""],[""22.335721184"",""114.145526597""],[""22.336598088"",""114.148035613""],[""22.336690076"",""114.148303021""],[""22.336699595"",""114.148320867""],[""22.336712682"",""114.148335144""],[""22.336736475"",""114.148348232""],[""22.336762649"",""114.148354179""],[""22.337045805"",""114.148269709""],[""22.33706722"",""114.148280416""],[""22.337085067"",""114.148300641""],[""22.337095775"",""114.148318487""],[""22.337101724"",""114.148336333""],[""22.337196901"",""114.148642095""],[""22.337206419"",""114.148670647""],[""22.337211179"",""114.148699201""],[""22.337202851"",""114.148728945""],[""22.337189764"",""114.148761067""],[""22.337030339"",""114.148962131""]]"
2B,0,CHEUNG SHA WAN BUS TERMINUS,長沙灣巴士總站,长沙湾巴士总站,CHEUNG SHA WANUNDERNEATH CHEUNG SHA WANPLAZA,長沙灣廣場地庫,长沙湾广场地库,22.337071054,114.148585791,"[[""22.337071054"",""114.148585791""],[""22.337042402"",""114.148921717""],[""22.337035264"",""114.14895146""],[""22.337032884"",""114.148968116""],[""22.337034074"",""114.148989531""],[""22.337086422"",""114.149139438""],[""22.33709475"",""114.149175129""],[""22.337092372"",""114.149202493""],[""22.337080475"",""114.149223909""],[""22.33705073"",""114.149236995""],[""22.337037644"",""114.149256032""],[""22.337030505"",""114.149278636""],[""22.337032884"",""114.149301242""],[""22.33711261"",""114.149536918""],[""22.337134012"",""114.149557034""],[""22.337161753"",""114.149571503""],[""22.33718755"",""114.149584397""],[""22.337220862"",""114.149585586""],[""22.337601576"",""114.149439249""],[""22.338004398"",""114.149271577""],[""22.338591569"",""114.149039579""],[""22.338611658"",""114.149043069""],[""22.338629503"",""114.149050207""],[""22.338647349"",""114.149068053""],[""22.338668053"",""114.149093281""],[""22.339267712"",""114.150804241""]]"
2B,1,KWONG CHEUNG STREET,光昌街,光昌街,CASTLE PEAK ROADO/S HSE NO. 544,青山道門牌544號,青山道门牌544号,22.339321729,114.150788905,"[[""22.339321729"",""114.150788905""],[""22.339267703"",""114.150804215""],[""22.339634825"",""114.151882956""],[""22.33992631"",""114.152739563""],[""22.339976278"",""114.152888278""],[""22.3402749"",""114.153765109""],[""22.340285608"",""114.153800802""],[""22.340297505"",""114.153841252""],[""22.340304644"",""114.153870996""],[""22.340304644"",""114.153895981""],[""22.340298695"",""114.153922154""],[""22.34028085"",""114.153959036""],[""22.33987776"",""114.154483341""]]"
2B,2,CHEUNG WAH STREET,昌華街,昌华街,CASTLE PEAK ROADO/S HSE NO. 406,青山道門牌406號,青山道门牌406号,22.339901931,114.154486098,"[[""22.339901931"",""114.154486098""],[""22.339877813"",""114.154483274""],[""22.337686674"",""114.157330021""]]"
2B,3,WING LUNG STREET,永隆街,永隆街,CASTLE PEAK RDO/S HSE NO. 276,青山道門牌276號,青山道门牌276号,22.337756979,114.157377984,"[[""22.337756979"",""114.157377984""],[""22.337686674"",""114.157330021""],[""22.336498695"",""114.158836932""],[""22.336183128"",""114.159250016""]]"
2B,4,PRATAS STREET,東沙島街,东沙岛街,CASTLE PEAK ROADO/S HSE NO. 170,青山道門牌170號,青山道门牌170号,22.336246836,114.159317193,"[[""22.336246836"",""114.159317193""],[""22.336183137"",""114.159250005""],[""22.334580928"",""114.161311917""]]"
2D,7,OXFORD ROAD,牛津道,牛津道,LANCASHIRE RDHSE NO. 34 EAST OF OXFORD RD,蘭開夏道門牌34號牛津道以東,兰开夏道门牌34号牛津道以东,22.330165062,114.181275752,"[[""22.330165062"",""114.181275752""],[""22.33024624"",""114.181270222""],[""22.33027718"",""114.180719529""],[""22.33032477"",""114.179925979""],[""22.330375928"",""114.178825478""],[""22.330369979"",""114.178792166""],[""22.330348564"",""114.178762423""],[""22.330320012"",""114.178742197""],[""22.330035665"",""114.178725541""],[""22.329806047"",""114.178732679""],[""22.32966566"",""114.178725541""]]"
2B,5,KIU KIANG STREET,九江街,九江街,CASTLE PEAK ROADO/S HSE NO. 86,青山道門牌86號,青山道门牌86号,22.334718048,114.161293978,"[[""22.334718048"",""114.161293978""],[""22.334581023"",""114.161311797""],[""22.333592184"",""114.162616705""],[""22.333556493"",""114.162678571""],[""22.333530319"",""114.162733298""],[""22.333508904"",""114.162788026""],[""22.333489868"",""114.162855841""],[""22.333476781"",""114.162920086""],[""22.333472021"",""114.162992659""],[""22.333468453"",""114.163196103""],[""22.333460124"",""114.163331732""],[""22.333443468"",""114.163375752""],[""22.333418484"",""114.163411444""],[""22.333385172"",""114.163445947""],[""22.333348289"",""114.163480449""],[""22.333310219"",""114.163509002""],[""22.33312343"",""114.163619648""],[""22.333104395"",""114.16365415""],[""22.333097256"",""114.163687463""],[""22.333099636"",""114.163710067""],[""22.333106774"",""114.163741""],[""22.333119862"",""114.163769553""],[""22.333223368"",""114.163862352""],[""22.333259059"",""114.163883767""],[""22.33330665"",""114.163899235""],[""22.333374463"",""114.163944444""],[""22.333600512"",""114.16414313""],[""22.334204896"",""114.164697543""],[""22.334216792"",""114.164728476""],[""22.334216793"",""114.164762978""],[""22.334210844"",""114.164795101""],[""22.33418943"",""114.1648415""],[""22.333506593"",""114.165717773""]]"
2B,6,MEI SANG HOUSE SHEK KIP MEI ESTATE,石硤尾美笙樓,石硖尾美笙楼,WOH CHAI STREETO/S MEI SANG HOUSE SHEK KIP MEI ESTATE,窩仔街石硤尾美笙樓對出,窝仔街石硖尾美笙楼对出,22.333561936,114.165756269,"[[""22.333561936"",""114.165756269""],[""22.333506593"",""114.165717773""],[""22.332932462"",""114.16647282""],[""22.332918797"",""114.166497606""],[""22.332914037"",""114.166520211""],[""22.332917607"",""114.166551143""],[""22.332933073"",""114.166583266""],[""22.333297132"",""114.166914011""]]"
2B,7,MEI SHING HOUSE SHEK KIP MEI ESTATE,石硤尾美盛樓,石硖尾美盛楼,NAM CHEONG STREETO/S MEI SHING HOUSE SHEK KIP MEI ESTATE,南昌街石硤尾美盛樓對出,南昌街石硖尾美盛楼对出,22.333340195,114.166865303,"[[""22.333340195"",""114.166865303""],[""22.333297132"",""114.166914011""],[""22.333780162"",""114.167347073""],[""22.333846786"",""114.167402991""],[""22.334351232"",""114.167859847""],[""22.335315662"",""114.168710471""],[""22.335474374"",""114.168841516""],[""22.335557408"",""114.168894057""]]"
2B,8,SHUI TIN HOUSE PAK TIN ESTATE,白田瑞田樓,白田瑞田楼,NAM CHEONG STREETO/S SHUI TIN HOUSE PAK TIN ESTATE,南昌街白田瑞田樓對出,南昌街白田瑞田楼对出,22.335587788,114.168821729,"[[""22.335587788"",""114.168821729""],[""22.335557408"",""114.168894057""],[""22.335633761"",""114.168934173""],[""22.335698007"",""114.168953209""],[""22.335767011"",""114.168975814""],[""22.336277407"",""114.169087649""],[""22.336430882"",""114.169117392""],[""22.33745167"",""114.169332733""],[""22.337536141"",""114.169336302""],[""22.337599197"",""114.169341061""],[""22.337662253"",""114.169337492""],[""22.337715719"",""114.169327593""],[""22.337769929"",""114.169317557""],[""22.337865944"",""114.169283597""],[""22.337946873"",""114.169245554""],[""22.338038207"",""114.169187586""],[""22.33811316"",""114.169130479""],[""22.338185734"",""114.169056717""],[""22.338254738"",""114.168972245""],[""22.338323743"",""114.16885922""],[""22.338364193"",""114.168783078""],[""22.338409404"",""114.168672434""],[""22.338443905"",""114.168562977""],[""22.33846892"",""114.168428544""],[""22.338506934"",""114.168190542""],[""22.338552171"",""114.167687336""],[""22.338568545"",""114.16755429""],[""22.338590242"",""114.167426786""],[""22.338724904"",""114.166820588""]]"
2B,9,SHEK KIP MEI FIRE STATION,石硤尾消防局,石硖尾消防局,NAM CHEONG STREETNEAR TAI WOH PING T.H.A.,南昌街近大窩坪臨屋區,南昌街近大窝坪临屋区,22.338765876,114.166832762,"[[""22.338765876"",""114.166832762""],[""22.338724904"",""114.166820588""],[""22.338854363"",""114.166335803""],[""22.338903141"",""114.166222779""],[""22.338943592"",""114.166133548""],[""22.338993937"",""114.166046589""],[""22.339156553"",""114.165851582""],[""22.339282665"",""114.16568264""],[""22.339389741"",""114.165569617""],[""22.339581287"",""114.165410193""],[""22.339619359"",""114.165395915""],[""22.339663379"",""114.165389967""],[""22.339699072"",""114.165389967""],[""22.339726434"",""114.165400675""],[""22.339753798"",""114.16541733""],[""22.339785922"",""114.165445885""],[""22.339850166"",""114.165538683""],[""22.339888238"",""114.165591031""],[""22.339914412"",""114.165652897""],[""22.339935828"",""114.165720711""],[""22.339947724"",""114.165783767""],[""22.339953673"",""114.165827787""],[""22.339965933"",""114.165956582""],[""22.33997271"",""114.166346511""],[""22.339992935"",""114.166952083""]]"
2B,10,CHAK YAN CENTRE,則仁中心,则仁中心,CORNWALL STOPP. TO CHAK YAN CENTRELP NO AA1461-4,歌和老街則仁中心對面近燈柱 AA1461-4,歌和老街则仁中心对面近灯柱 AA1461-4,22.339973721,114.16693339,"[[""22.339973721"",""114.16693339""],[""22.339992935"",""114.166952083""],[""22.339997694"",""114.166999673""],[""22.339998883"",""114.167043692""],[""22.339991745"",""114.167109127""],[""22.339976498"",""114.167208779""],[""22.33987139"",""114.167798906""],[""22.339701451"",""114.168755715""],[""22.33965624"",""114.169066234""],[""22.339517042"",""114.16983123""],[""22.339514663"",""114.169958531""],[""22.33948254"",""114.170150079""]]"
2B,11,SHEK KIP MEI PARK,石硤尾公園,石硖尾公园,CORNWALL STO/S CITY UNIVERSITY HOSTELNEAR LP NO. AA 1467-6,歌和老街城大宿舍對出近燈柱 AA1467-6,歌和老街城大宿舍对出近灯柱 AA1467-6,22.339434309,114.170164764,"[[""22.339434309"",""114.170164764""],[""22.33948254"",""114.170150079""],[""22.339475181"",""114.170188561""],[""22.339419263"",""114.170311103""],[""22.3393919"",""114.170515738""],[""22.339377888"",""114.17073058""],[""22.339389519"",""114.170930953""],[""22.339405044"",""114.171073313""],[""22.339429887"",""114.171221596""],[""22.339546564"",""114.17169238""],[""22.339634605"",""114.172058818""],[""22.34014262"",""114.174133708""],[""22.34018426"",""114.17430265""],[""22.340196157"",""114.174359756""],[""22.340203296"",""114.174412104""],[""22.340216383"",""114.174515611""],[""22.340223802"",""114.174590556""],[""22.340229469"",""114.174811854""],[""22.340252074"",""114.175096199""],[""22.340237797"",""114.175548297""],[""22.340215868"",""114.176000552""],[""22.340112875"",""114.177937276""],[""22.340097409"",""114.17831561""]]"
2B,12,EDE ROAD,義德道,义德道,CORNWALL STEAST OF EDE ROADNEAR WATERLOO ROAD,歌和老街義德道以東,歌和老街义德道以东,22.340148984,114.178326837,"[[""22.340148984"",""114.178326837""],[""22.340095357"",""114.178312932""],[""22.340050147"",""114.179043428""],[""22.340044198"",""114.179173108""],[""22.340026352"",""114.179223076""],[""22.339995419"",""114.17925639""],[""22.339964487"",""114.179273045""],[""22.339926414"",""114.179287322""],[""22.339889533"",""114.17929446""],[""22.339316083"",""114.179265907""],[""22.339267305"",""114.179274236""],[""22.339239941"",""114.17929327""],[""22.339214956"",""114.179314685""],[""22.339201868"",""114.179342049""],[""22.339195795"",""114.179370606""],[""22.339179264"",""114.179679934""],[""22.339162571"",""114.180454472""],[""22.339150711"",""114.18101957""],[""22.339168557"",""114.181115937""],[""22.339164987"",""114.181277742""]]"
3B,6,CHI KIANG STREET,浙江街,浙江街,TO KWA WAN RDHSE NO. 68B,土瓜灣道門牌68號B,土瓜湾道门牌68号B,22.316088782,114.189221274,"[[""22.316088782"",""114.189221274""],[""22.316040883"",""114.189287488""],[""22.316494169"",""114.189721739""],[""22.317526855"",""114.190692559""]]"
2B,13,KAM SHING ROAD,金城道,金城道,JUNCTION ROADNEAR KAM SHING RD O/S KAMSHING RD RECREATION GROUND,聯合道近金城道金城道遊樂場外,联合道近金城道金城道游乐场外,22.339202979,114.181225075,"[[""22.339202979"",""114.181225075""],[""22.339164987"",""114.181277742""],[""22.339161418"",""114.181324141""],[""22.339141193"",""114.181402663""],[""22.339132783"",""114.181691591""],[""22.339141192"",""114.181904729""],[""22.339145951"",""114.181993958""],[""22.339164987"",""114.182092706""],[""22.33919711"",""114.18220811""],[""22.339249458"",""114.182366344""],[""22.33932679"",""114.182565029""],[""22.339381518"",""114.182686382""],[""22.339433866"",""114.182789888""],[""22.339481455"",""114.18287198""],[""22.339520717"",""114.182925517""],[""22.339575444"",""114.182979056""],[""22.339675381"",""114.183073044""],[""22.339786027"",""114.183159894""],[""22.34007632"",""114.183382374""],[""22.340153653"",""114.18344424""],[""22.340230986"",""114.183491829""],[""22.340308674"",""114.183526882""],[""22.340386763"",""114.183555575""],[""22.340480829"",""114.183595336""],[""22.340736622"",""114.183672669""],[""22.340772314"",""114.183705981""],[""22.340792539"",""114.183735724""],[""22.340803246"",""114.183782123""],[""22.340811574"",""114.183828523""],[""22.340805625"",""114.183941547""],[""22.340785749"",""114.184257553""],[""22.340775883"",""114.184346056""],[""22.340721155"",""114.184501911""],[""22.340698549"",""114.18467799""],[""22.340693791"",""114.184973044""]]"
2B,14,KA KEUNG COURT,嘉強苑,嘉强苑,FU MEI STREETNEAR KIT SAM MIDDLE SCHOOL,富美街近潔心會林炳炎中學,富美街近洁心会林炳炎中学,22.340844139,114.18498191,"[[""22.340844139"",""114.18498191""],[""22.340693791"",""114.184973044""],[""22.340693791"",""114.185152693""],[""22.340668806"",""114.185509612""],[""22.340634288"",""114.187586431""]]"
2B,15,WANG CHIU HOUSE,宏照樓,宏照楼,"FU MEI STO/S WANG CHIU HSE, WANG TAUHOM EST.",富美街橫頭磡宏照樓,富美街横头磡宏照楼,22.340757068,114.187591995,"[[""22.340757068"",""114.187591995""],[""22.340634288"",""114.187586431""],[""22.340645012"",""114.18773084""],[""22.340647391"",""114.187895023""],[""22.340646202"",""114.18807943""],[""22.340636684"",""114.188399467""],[""22.340614078"",""114.189065717""],[""22.34060932"",""114.189201346""],[""22.340621218"",""114.189241797""],[""22.340637874"",""114.189264403""],[""22.340662857"",""114.189291765""],[""22.34069736"",""114.189306042""],[""22.340849646"",""114.18931794""],[""22.340935307"",""114.189331026""],[""22.340973377"",""114.189338165""],[""22.341087592"",""114.18935839""],[""22.342495043"",""114.189572542""],[""22.342618074"",""114.189589147""],[""22.342693728"",""114.189595147""],[""22.342766302"",""114.189586819""],[""22.342816766"",""114.189572158""],[""22.342918915"",""114.189531982""],[""22.343007725"",""114.18947557""],[""22.343072676"",""114.189409586""],[""22.343133929"",""114.189334596""],[""22.343164862"",""114.189281058""],[""22.343195712"",""114.18923958""],[""22.343219588"",""114.189189449""],[""22.343243384"",""114.189156136""],[""22.343276696"",""114.189129962""],[""22.34330049"",""114.189085943""],[""22.343350649"",""114.188893633""],[""22.343390691"",""114.188519647""],[""22.343427791"",""114.188341171""],[""22.343450396"",""114.188251941""],[""22.343490847"",""114.188155574""],[""22.343544386"",""114.188066343""],[""22.343625669"",""114.187968612""],[""22.343708568"",""114.187893832""],[""22.343794228"",""114.187830776""],[""22.343902494"",""114.187757013""],[""22.344007191"",""114.187711803""],[""22.344147578"",""114.18768206""],[""22.344324848"",""114.187629712""],[""22.344392663"",""114.187624953""]]"
2B,16,TIN WANG COURT,天宏苑,天宏苑,MA CHAI HANG RDNEAR TIN MA COURT,馬仔坑道近天馬苑,马仔坑道近天马苑,22.344413314,114.18766933,"[[""22.344413314"",""114.18766933""],[""22.344392663"",""114.187624953""],[""22.344569933"",""114.187651127""],[""22.344785274"",""114.187657076""],[""22.34484714"",""114.187653506""],[""22.344891161"",""114.187661835""],[""22.344929232"",""114.18768087""],[""22.344963733"",""114.187716562""],[""22.34498158"",""114.187762963""],[""22.344993476"",""114.187821259""],[""22.345010134"",""114.187908109""],[""22.345146952"",""114.188575548""],[""22.345164798"",""114.188663588""],[""22.345171936"",""114.188746869""],[""22.345190972"",""114.189942548""],[""22.345233803"",""114.190126956""],[""22.345236182"",""114.190225705""]]"
2B,17,RAINBOW PRIMARY SCHOOL,天虹小學,天虹小学,CHUK YUEN RD. OPP. TORAINBOW PRIMARY SCHOOL,竹園道天虹小學對面,竹园道天虹小学对面,22.345294192,114.18992706,"[[""22.345294192"",""114.18992706""],[""22.345236182"",""114.190225705""],[""22.345194542"",""114.190438666""],[""22.345205248"",""114.191052566""],[""22.345215625"",""114.19189131""],[""22.345229902"",""114.19193176""],[""22.345250128"",""114.191965072""],[""22.345275113"",""114.191992436""],[""22.345338168"",""114.192070958""],[""22.345401554"",""114.192145929""]]"
2D,0,CHAK ON ESTATE BUS TERMINUS,澤安巴士總站,泽安巴士总站,CHAK ON B/T,澤安巴士總站,泽安巴士总站,22.340478145,114.164610246,"[[""22.340478145"",""114.164610246""],[""22.340544026"",""114.164369665""],[""22.340539267"",""114.164193585""],[""22.340507937"",""114.164108573""],[""22.340450938"",""114.164055564""],[""22.340399993"",""114.164044598""],[""22.339854466"",""114.16404861""],[""22.339580589"",""114.164102447""],[""22.339447094"",""114.164134098""],[""22.339266255"",""114.164222139""],[""22.339161559"",""114.164281625""],[""22.33904196"",""114.164373613""],[""22.338988946"",""114.164457623""],[""22.338980914"",""114.164559567""],[""22.339027982"",""114.164654619""],[""22.339316488"",""114.164934668""],[""22.339351916"",""114.164984604""],[""22.339371541"",""114.165074867""],[""22.339393929"",""114.165119265""],[""22.339420103"",""114.165154957""],[""22.339449847"",""114.16518351""],[""22.339618788"",""114.165298914""],[""22.33965567"",""114.165329848""],[""22.339694932"",""114.165372678""],[""22.339708018"",""114.165413129""],[""22.33970445"",""114.165446442""],[""22.339694932"",""114.165472616""],[""22.339675895"",""114.165502358""],[""22.339650911"",""114.165526153""],[""22.339597374"",""114.165564224""],[""22.339506953"",""114.165629659""],[""22.339489107"",""114.165643936""],[""22.339468882"",""114.165661783""],[""22.339453417"",""114.16567606""],[""22.339432"",""114.165695095""],[""22.339412965"",""114.165712941""],[""22.339380842"",""114.165737925""],[""22.339329684"",""114.165781945""],[""22.339210337"",""114.165899658""],[""22.339113978"",""114.166017589""],[""22.339042585"",""114.166103102""],[""22.339012842"",""114.166144743""],[""22.338991427"",""114.166184004""],[""22.338965253"",""114.166235162""],[""22.338939079"",""114.16629108""],[""22.338914094"",""114.166348187""],[""22.338886731"",""114.166413622""],[""22.338865316"",""114.166474298""],[""22.338850891"",""114.166527563""],[""22.338653627"",""114.167395159""]]"
2D,11,FA HUI PARK,花墟公園,花墟公园,BOUNDARY STOPP. TO MONGKOK STADIUM,界限街旺角大球場對面,界限街旺角大球场对面,22.326866095,114.173105213,"[[""22.326866095"",""114.173105213""],[""22.326778843"",""114.173189137""],[""22.326777654"",""114.173211742""],[""22.326759807"",""114.173328335""],[""22.326780033"",""114.174024328""],[""22.326782412"",""114.17406121""],[""22.326781224"",""114.174092142""],[""22.326776464"",""114.174129024""],[""22.326769325"",""114.174169475""],[""22.326757428"",""114.174208736""],[""22.326627748"",""114.174557328""],[""22.326619419"",""114.174594209""],[""22.32661585"",""114.174625142""],[""22.32661466"",""114.174650127""],[""22.326618835"",""114.174677412""],[""22.326789551"",""114.175015373""],[""22.326812156"",""114.175060583""],[""22.326820484"",""114.175084378""],[""22.326827622"",""114.175108172""],[""22.326832382"",""114.175139106""],[""22.326833571"",""114.175178367""],[""22.32687997"",""114.176165844""],[""22.326896626"",""114.17644424""],[""22.326913284"",""114.176891578""]]"
2D,1,SHEK KIP MEI FIRE STATION,石硤尾消防局,石硖尾消防局,NAM CHEONG STREETNEAR SHEK KIP MEI FIRE STATION,南昌街近石硤尾消防局,南昌街近石硖尾消防局,22.338695923,114.167401251,"[[""22.338695923"",""114.167401251""],[""22.338653699"",""114.167394837""],[""22.338602924"",""114.167685547""],[""22.338579111"",""114.167970222""],[""22.338546468"",""114.168261273""],[""22.338516724"",""114.168431405""],[""22.3384965"",""114.168524204""],[""22.338467945"",""114.168617004""],[""22.338434634"",""114.168710991""],[""22.338392992"",""114.168809739""],[""22.338344213"",""114.168909677""],[""22.338296624"",""114.168998907""],[""22.338238892"",""114.169085537""],[""22.338174083"",""114.169154762""],[""22.338089619"",""114.169229804""],[""22.338036074"",""114.169270165""],[""22.337953923"",""114.169314104""],[""22.337895686"",""114.169340359""],[""22.337838578"",""114.169359394""],[""22.337770382"",""114.169378577""],[""22.337717226"",""114.169387949""],[""22.337672016"",""114.169395086""],[""22.337620857"",""114.169397466""],[""22.337551853"",""114.169398657""],[""22.337492367"",""114.169395087""],[""22.337426387"",""114.169386866""],[""22.336414873"",""114.169170712""],[""22.336385918"",""114.169155951""],[""22.336365692"",""114.169132157""],[""22.336349035"",""114.169105982""],[""22.336346656"",""114.169072669""],[""22.336351415"",""114.169032219""],[""22.336381158"",""114.168866846""],[""22.336365691"",""114.168807359""],[""22.336451352"",""114.168285068""]]"
2D,3,BLOCK 9 PAK TIN ESTATE,白田第9座,白田第9座,PAK WAN STREETOPP. TO PAK TIN ESTATE BLK 9,白雲街白田９座對面,白云街白田９座对面,22.33692298,114.165404725,"[[""22.33692298"",""114.165404725""],[""22.336937953"",""114.16553798""],[""22.336993869"",""114.165452319""],[""22.337041459"",""114.165194149""],[""22.337043838"",""114.165137041""],[""22.337033131"",""114.165082313""],[""22.337016475"",""114.165032346""],[""22.337002198"",""114.165001412""],[""22.336980782"",""114.16496215""],[""22.336955799"",""114.164926459""],[""22.336924866"",""114.164896716""],[""22.336887983"",""114.164872922""],[""22.336846344"",""114.164853886""],[""22.336808271"",""114.164838419""],[""22.336765441"",""114.164827711""],[""22.3367238"",""114.164827711""],[""22.336673833"",""114.164834849""],[""22.336130967"",""114.164985517""],[""22.336046844"",""114.165018068""],[""22.336010927"",""114.165046548""],[""22.335974981"",""114.165078584""],[""22.335944904"",""114.16512255""],[""22.335926934"",""114.165168515""],[""22.335898128"",""114.165291706""],[""22.335826744"",""114.165466596""],[""22.335801759"",""114.165577241""]]"
2D,4,ON TIN HOUSE PAK TIN ESTATE,白田安田樓,白田安田楼,PAK WAN STREETO/S ON TIN HOUSE,白雲街安田樓,白云街安田楼,22.335842181,114.166107971,"[[""22.335842181"",""114.166107971""],[""22.33580057"",""114.165574862""],[""22.335816036"",""114.165733097""],[""22.335789863"",""114.165884193""],[""22.335696954"",""114.166354504""],[""22.335674916"",""114.166411522""],[""22.335629716"",""114.166477222""],[""22.335603736"",""114.166510393""],[""22.335581985"",""114.166522384""],[""22.335567709"",""114.166527143""],[""22.335551528"",""114.166527144""],[""22.335537263"",""114.166528368""],[""22.335506707"",""114.166514749""],[""22.335463876"",""114.166483817""],[""22.335352639"",""114.16638643""],[""22.335290175"",""114.166327961""],[""22.335253293"",""114.166287511""],[""22.335229499"",""114.166253009""],[""22.335211653"",""114.166219696""],[""22.334943964"",""114.165545118""],[""22.334897565"",""114.165439232""],[""22.33487377"",""114.165380937""],[""22.334847596"",""114.165334536""],[""22.334808335"",""114.165288137""],[""22.334464503"",""114.164999032""]]"
