route,seq,name_en,name_tc,name_sc,location_en,location_tc,location_sc,lat,lng,path
3C,11,CHRISTIAN CENTRAL CHURCH,基督中心堂,基督中心堂,WATERLOO RDSOUTH OF RUTLAND QUADRANTLP K8660-6,窩打老道律倫街以南燈柱K8660-6,窝打老道律伦街以南灯柱K8660-6,22.332023719,114.178691971,"[[""22.332023719"",""114.178691971""],[""22.332030358"",""114.178680616""],[""22.332139812"",""114.17870679""],[""22.33267638"",""114.178741291""],[""22.332778698"",""114.178749619""],[""22.332886963"",""114.178753188""],[""22.333032111"",""114.178756758""],[""22.333149894"",""114.178762706""],[""22.333264788"",""114.178771518""],[""22.334485822"",""114.178846488""],[""22.335172844"",""114.178892545""],[""22.335588842"",""114.178916183""],[""22.335750644"",""114.178894766""],[""22.335921965"",""114.178900716""]]"
3D,5,DIAMOND HILL CREMATORIUM,鑽石山火葬場,钻石山火葬场,PO KONG VILLAGE RDO/S DIAMOND HILL CREMATORIUM,蒲崗村道鑽石山墳場外,蒲岗村道钻石山坟场外,22.345107937,114.206879196,"[[""22.345107937"",""114.206879196""],[""22.345044443"",""114.206825566""],[""22.344727376"",""114.207129561""],[""22.344564315"",""114.207282624""],[""22.344466656"",""114.207364434""],[""22.344398279"",""114.207411502""],[""22.344258509"",""114.207475573""],[""22.343915222"",""114.207584833""],[""22.343316525"",""114.207772045""],[""22.342753619"",""114.207945082""],[""22.342176383"",""114.208138873""],[""22.342045511"",""114.208225723""],[""22.341957471"",""114.208262605""]]"
3D,11,LOWER NGAU TAU KOK ESTATE,牛頭角下,牛头角下,KWUN TONG ROADO/S LOWER NGAU TAU KOK ESTATE,觀塘道牛頭角下對開,观塘道牛头角下对开,22.321766218,114.214645168,"[[""22.321766218"",""114.214645168""],[""22.321752683"",""114.214586425""],[""22.321052208"",""114.21465152""],[""22.320302933"",""114.214727186""],[""22.319773228"",""114.214801123""],[""22.319478114"",""114.214820143""],[""22.318965178"",""114.214854732""],[""22.318401429"",""114.214923238""],[""22.318121319"",""114.214980773""],[""22.317953634"",""114.215041634""]]"
12A,4,KWEILIN STREET SHAM SHUI PO,深水桂林街,深水桂林街,LAI CHI KOK ROADO/S HSE NO. 374,荔枝角道門牌374號,荔枝角道门牌374号,22.329336792,114.159706929,"[[""22.329336792"",""114.159706929""],[""22.329398241"",""114.159545375""],[""22.32900305"",""114.160045483""],[""22.328355043"",""114.160876496""],[""22.327724008"",""114.161688442""],[""22.32745166"",""114.162060749""],[""22.327103099"",""114.16252051""]]"
12A,19,LOK SHAN ROAD,落山道,落山道,TO KWA WAN RDHSE NO. 275,土瓜灣道門牌275號,土瓜湾道门牌275号,22.31687379,114.19033205,"[[""22.31687379"",""114.19033205""],[""22.316918733"",""114.190283849""],[""22.316475731"",""114.189872316""],[""22.316262759"",""114.189665241""],[""22.315377712"",""114.188834301""],[""22.315115457"",""114.188590655""],[""22.315080472"",""114.188559367""],[""22.314828742"",""114.188334235""],[""22.314583059"",""114.188095372""]]"
2,7,NELSON STREET MONG KOK,旺角奶路臣街,旺角奶路臣街,NATHAN ROADO/S HSE NO. 639,彌敦道門牌639號,弥敦道门牌639号,22.317812807,114.169548863,"[[""22.317812807"",""114.169548863""],[""22.317819944"",""114.169587742""],[""22.31796747"",""114.169568706""],[""22.31919865"",""114.169316944""],[""22.321667151"",""114.168795955""],[""22.321798403"",""114.168769207""]]"
2,999,SO UK BUS TERMINUS,蘇屋巴士總站,苏屋巴士总站,SO UK B/T,蘇屋巴士總站,苏屋巴士总站,22.341084894,114.158664975,"[[""22.341084894"",""114.158664975""]]"
2B,7,SHEK KIP MEI PARK,石硤尾公園,石硖尾公园,CORNWALL STREETO/S SHEK KIP MEI GARDEN,歌和老街石硤尾公園,歌和老街石硖尾公园,22.339245832,114.171102745,"[[""22.339245832"",""114.171102745""],[""22.339287308"",""114.17067671""],[""22.339284929"",""114.170629121""],[""22.339325379"",""114.170481595""],[""22.339362138"",""114.170248576""],[""22.339392005"",""114.170059241""],[""22.339593112"",""114.168961043""],[""22.339632331"",""114.16873626""],[""22.339785805"",""114.167877275""],[""22.339788185"",""114.167724989""],[""22.339825066"",""114.167501321""]]"
2B,17,CHEUNG SHA WAN PATH,長沙灣徑,长沙湾径,CHEUNG SHA WAN ROADOPP. TO CHEUNG SHA WANPOST OFFICE,長沙灣道長沙灣郵政局對面,长沙湾道长沙湾邮政局对面,22.338203145,114.15128115,"[[""22.338203145"",""114.15128115""],[""22.33830231"",""114.151250076""],[""22.33804637"",""114.150505213""],[""22.337637101"",""114.149308343""],[""22.337195711"",""114.148036521""],[""22.337087447"",""114.147759314""],[""22.336721124"",""114.146737123""]]"
2B,999,CHEUNG SHA WAN BUS TERMINUS,長沙灣巴士總站,长沙湾巴士总站,CHEUNG SHA WANUNDERNEATH CHEUNG SHA WANPLAZA,長沙灣廣場地庫,长沙湾广场地库,22.337071054,114.148585791,"[[""22.337071054"",""114.148585791""]]"
